"# Clave Institucion Latitud Longitud"
1 CHAS CENAPRED 19.4157 -99.2048
2 CI05 CIRES, 19.4186 -99.1653
3 CJ03 CIRES, 19.4097 -99.1567
4 CJ04 CIRES, 19.4098 -99.1566
5 CNBA CENAPRED 19.3147 -99.1753
6 CO47 CIRES 19.3714 -99.1703
7 CO56 CIRES 19.4215 -99.159
8 CP28 CIRES 19.4385 -99.0839
9 CS78 CIRES 19.3656 -99.2262
10 CU80 CIRES 19.2938 -99.1037
11 CUP5 INSTITUTO 19.33024 -99.181076
12 CYK2 CENAPRED 19.3477 -99.1687
13 PD42 CIRES 19.4055 -99.0997
14 PE10 CIRES 19.3809 -99.1318
15 RI76 CIRES 19.4473 -99.1
16 RM48 CIRES 19.4359 -99.128
17 SCT2 INSTITUTO 19.394694 -99.148678
18 SI53 CIRES 19.3753 -99.1483
19 SP51 CIRES 19.3656 -99.1189
20 TACY INSTITUTO 19.404505 -99.195246
21 TP13 CIRES, 19.2922 -99.1708
22 UC44 CIRES 19.4337 -99.1654
23 UI21 CIRES, 19.37 -99.2642
